Posición,Atleta,Caballo,Premio,Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Abdullah Alsharbatly,Ermindo W,34815,0,78.18,0,49.53,0
2,Billy Twomey,Chat Botte E.D,2110,0,78.80,0,50.74,0
3,Pedro Veniss,Nimrod de Muze Imperio Egipcio,15825,0,79.35,0,51.79,0
4,Robert Whitaker,Vermento,10550,0,79.41,0,52.21,0
5,William Fletcher,Iwalinde,6330,0,77.07,0,52.53,0
6,Emeric George,Gengis Kann de Londe,4747.5,0,79.02,0,52.59,0
7,Jack Whitaker,Equine America Valmy de La Lande,3165,0,78.60,0,52.86,0
8,Hannah Åkerblom,Chodec,2637.5,0,78.51,0,53.80,0
9,Santiago Nuñez Riva,Chakira Z,2110,0,80.18,0,57.97,0
10,Santiago Lambre,Corina Blue,2110,0,78.38,4,51.90,4
11,Jules Orsolini,Charlotte 198,1055,1,81.93,,,1
12,Luca Maria Moneta,Jolie Coeur d'Avril,1055,2,82.39,,,2
13,Bertram Allen,Caprisco,,3,83.53,,,3
14,Harry Allen,Calculatus,,4,73.84,,,4
15,Rikke Belinda Barker,Tabalou PS,,4,76.79,,,4
16,James Arkins,Rosthwaite Cover Girl,,4,76.84,,,4
17,Rodrigo Giesteira Almeida,Karonia.L,,4,76.86,,,4
18,Kara Chad,Igor Gph,,4,78.82,,,4
19,Deirdre Reilly,Derryglen Othello,,4,80.23,,,4
20,Duarte Seabra,Dourados 2,,5,81.08,,,5
21,Ana Carolina Sandoval Muñoz,My Lord's Way,,5,81.58,,,5
22,Luciana Diniz,Clair de Lune 11,,5,81.83,,,5
23,Mans Thijssen,Joviality,,6,82.65,,,6
24,Jesus Garmendia Echevarria,Callias,,8,77.80,,,8
25,Finn Boerekamp,Parfait Vd Bisschop,,8,78.27,,,8
26,Sira Martinez Cullell,Pipper des Vergers Z,,8,78.96,,,8
27,Alex Codina Leria,Notis,,8,78.97,,,8
28,Constant van Paesschen,Kannavara Z,,8,79.14,,,8
29,Imma Roquet Autonell,Ivettus Del Maset,,8,80.49,,,8
30,Stanislas de Malet,Zambo M Z,,8,80.69,,,8
31,Henk van de Pol,B Captain Norman,,10,82.38,,,10
32,Sanne Thijssen,Con Quidam RB,,10,82.62,,,10
33,Pello Elorduy Ibarzabal,Flonflon,,10,82.99,,,10
34,Álvaro González De Zarate,Najac vh Kluizebos,,12,79.75,,,12
35,Derin Demirsoy,O-Kannarock,,13,81.66,,,13
36,Laura Renwick,Enjoy Ck Z,,23,91.64,,,23
,Joe Fernyhough,Calcourt Particle,,,,,,RET
,Nicolas Deseuzes,Falco du Loing,,,,,,